Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Tank_Capacity_L,Air_Delivery_CMH,Coverage_Area_sqft,Cooler_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-90-l-desert-air-cooler-ghracbke090.html,,Standard,SKUGHRACBKE090,26890.00,13290.00,N/A,"Key Features Large Size Tank Capacity: 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke090_1_.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-70-l-desert-air-cooler-ghracbke070.html,,Standard,SKUGHRACBKE070,23990.00,11590.00,N/A,"Key Features Large Size Tank Capacity : 70 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user Note : Product images are for illustrative purposes only and may differ from the actual product",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke070_6_.jpg,70,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/ghracbke9x0.html,,Standard,SKUGHRACBKE9X0,29490.00,14490.00,N/A,"Key Features Large Size Tank Capacity: 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Electronic Panel & Remote: Easy operation Timer Function: Setting operation time as per convenience Low Water Alarm: Provides indication for low water in tank Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolgrande_i_90.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolgrande-inverto-90-l-bldc-desert-cooler-ghracbke180.html,,Standard,SKUGHRACBKE180,33690.00,16990.00,N/A,"Key Features Large Size Tank Capacity : 90 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful air delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area BLDC Inverter Technology: Energy-efficient technology for best performance and cost-cutting over electricity bills in Air-Coolers. Microchip Controlled 100% Copper Winding BLDC Motor : BLDC Motor keeps the circuit cool by ensuring minimal heat generation through 100% Copper Winding. Ice Chamber: Instant, refreshing and effective cooling 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbke180_4_.jpg,90,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolaire-115-l-desert-air-cooler-ghracaae019.html,,Standard,SKUGHRACAAE019,32610.00,14690.00,N/A,"Key Features Large Size Tank Capacity : 115 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful air delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 5 Leaf Metal Blades: Noiseless cooling Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolaire_115_1.jpg,115,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolaire-55-l-desert-air-cooler-ghracaae050.html,,Standard,SKUGHRACAAE050,22290.00,10290.00,N/A,Key Features Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area 5 Leaf Metal Blades: Noiseless cooling Bacteria Shield Honeycomb Pads Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens by 99.9 %. Multi directional Castor wheels with brakes: Easy portability 4 Way Swing: Ensures Multi-directional air flow & cooling,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolaire_55_1.jpg,5,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolaire-80-l-desert-air-cooler-ghracaae185.html,,Standard,SKUGHRACAAE185,24990.00,12290.00,N/A,"Key Features Large Size Tank Capacity : 80 L large water tank ensures cooling for longer duration. Powerful Air Delivery : 5 leaf aluminum blades ensure noiseless powerful air delivery of 3600 m³/h for effective cooling. 3 Side Honeycomb Pads : Specially processed anti-bacterial, anti-erosion, anti-deformation with hydrophilic property, they absorb remainder dust particles and cleanse air thoroughly. These are odor-free, low maintenance and long life pads Warranty : 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolaire_80_3.jpg,80,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolstorm-65-l-desert-cooler-ghraccle065.html,,Standard,SKUGHRACCLE065,21890.00,9990.00,N/A,"Key Features Large Size Tank Capacity : Tank capacity of 65 L assures one time water filling for longer duration Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area XXL Ice Chamber: Instant, refreshing and effective cooling 3 Side Chill Drip Technology: Ice Cold water from the ice chamber comes in direct contact with all three side honeycomb pads to ensure powerful cooling. 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccle065-front.jpg,65,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/koolstorm-95-l-desert-cooler-ghraccle095.html,,Standard,SKUGHRACCLE095,26390.00,12990.00,N/A,"Key Features Large Size Tank Capacity: 95 L large water tank ensures prolonged cooling performance, minimizing the need for constant water refills. Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area. XXL Ice Chamber: Instant, refreshing and effective cooling. 3 Side Chill Drip Technology: Ice cold water from the ice chamber comes in direct contact with all three side honeycomb pads to ensure powerful cooling. 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Bed Height Fan Position: Maximized air flow towards user.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghraccle095.jpg,95,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/altima-i-70-l-desert-air-cooler-ghracbud220.html,,Standard,SKUGHRACBUD220,26390.00,12990.00,N/A,Key Features Large Size Tank Capacity : Tank capacity of 70 L assures one time water filling for longer duration Powerful Air Delivery : 5 leaf plastic blades ensure powerful air delivery of 3500 m³/h for effective cooling Full Functional Remote & Electronic Panel : Remote function facility provides user effortless operation of air cooler Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbud220.jpg,70,N/A,N/A,N/A,Warranty : 1 Year,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Air_Cooler/Catalogue_Havells_Air_Cooler.pdf,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,desert,https://havells.com/home-appliances/air-coolers/desert-coolers/altima-70-l-desert-air-cooler-ghracbuf220.html,,Standard,SKUGHRACBUF220,22990.00,11290.00,N/A,"Key Features Large Size Tank Capacity : Tank capacity of 70 L assures one time water filling for longer duration Powerful Air Delivery : 5 leaf plastic blades ensure powerful air delivery of 3500 m³/h for effective cooling 3 Side Honeycomb Pads : Specially processed anti-bacterial, anti-erosion, anti deformation with hydrophilic property, they absorb remainder dust particles and cleanse air thoroughly. These are low maintenance and long life cooling pads Warranty : 1 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/l/altima_1.jpg,70,N/A,N/A,N/A,Warranty : 1 Year,https://integration-5ojmyuq-hkosayfn2zwv6.ap-3.magentosite.cloud/media/wysiwyg/Brochure-and-pricelist/Air_Cooler/Catalogue_Havells_Air_Cooler.pdf,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/koolmate-40-l-personal-air-cooler-ghraccve038.html,,Standard,SKUGHRACCVE038,15390.00,7290.00,N/A,"Key Features Powerful air delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Multi directional Castor wheels with brakes: Easy portability Ice Chamber: For Instant, refreshing and effective cooling. Completely Collapsible Louvers: Prevents dust & insects entering air cooler",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/o/koolmate_40_1.jpg,N/A,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/velo-i-45-l-personal-air-cooler-ghracdpw110.html,,Standard,SKUGHRACDPW110,19790.00,9190.00,N/A,"Key Features Electronic Panel & Remote: Easy operation Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Timer: Setting operation time as per convenience Low Water Alarm: Provides indication for low water in tank 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/v/e/velo_i_45_1.jpg,N/A,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/slimo-24-l-personal-air-cooler-ghracddw180.html,,Standard,SKUGHRACDDW180,11490.00,5890.00,N/A,"Key Features Tank Capacity : A practical and powerful performer with 24 L tank capacity and is ideal for small to medium rooms Space Saving Sleek Design: Suitable for smaller spaces Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. Multi Directional Castor Wheels with Brakes: Easy portability",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/l/slimo_24_1.jpg,24,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/tuono-25-l-personal-cooler-ghracbcb25.html,,Standard,SKUGHRACBCB25,12790.00,6290.00,N/A,"Key Features Dust Filter Nets: Removes harmful substances from air Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Ice Chamber: Instant, refreshing and effective cooling Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Multi Directional-Castor wheels: Easy portability",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/h/ghracbcb25_1_.jpg,N/A,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/velo-36-l-personal-cooler-ghracdfw180.html,,Standard,SKUGHRACDFW180,14590.00,7489.00,N/A,"Key Features Powerful Air Delivery: Suitable for covering bigger area by moving large quantity of air into the surrounding area Double Ball Bearing Motor: Enhances motor life, ensures smooth functioning, and reduces noise for a better experience. 3 Side Honeycomb Pads With Bacteria Shield Technology: Offers efficient cooling and healthier air circulation by reducing bacteria and allergens. Aerodynamically Designed Blades: Ensures corner-to-corner air circulation of air Multi Directional Castor Wheels with Brakes: Easy portability",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/v/e/velo_36_1.jpg,N/A,N/A,N/A,N/A,N/A,N/A,"Ce, CE, ul, isi, ce, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,personal,https://havells.com/home-appliances/air-coolers/personal-coolers/kalt-pro-24-l-personal-air-cooler-ghracaaw008.html,,Standard,SKUGHRACAAW008,11990.00,5390.00,N/A,Key Features Tank Capacity : Kalt Pro is a practical and powerful performer with 24 L tank capacity and is ideal for small to medium rooms Sleek & Stunning Design : Stylish & ergonomically designed which makes it suitable for smaller spaces & corners of a room 3 Side Smell Free Honeycomb Pad : Smell free & high-density pads provides high water retention rate and effective cooling Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/k/a/kalt_pro_24_5.jpg,24,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ce certified, ISI, bee",onsWashing,India,N/A
Havells,Air_Coolers,window,https://havells.com/home-appliances/air-coolers/window-cooler/brina-plus-hc-50-l-window-air-cooler-ghraccde0201.html,,Standard,SKUGHRACCDE0201,18490.00,9190.00,N/A,Key Features Powerful Air Delivery  : In hot summer Powerful Blower ensure cool air all the time Auto Drain : Uniquely designed auto drain process make sure hassle free drainage of old & dirty water Fully Collapsable louvers : Collapsable Louvers don’t allow Dust & insects to go inside the cooler Warranty : 1 Year,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/b/r/brina_hc_plus_1.jpg,N/A,N/A,N/A,N/A,Warranty : 1 Year,N/A,"Ce, CE, ul, isi, ce, ISI",onsWashing,India,N/A
