Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Poles,Current_Rating_A,Breaking_Capacity_kA,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/32-a-dp-switch-with-indicator-2-m-acvsdiw321.html,,Standard,SKUACVSDIW321,759.00,500.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsdiw321_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/10-a-mega-bell-push-switch-1-way-with-indicator-acvmbiw101.html,,Standard,SKUACVMBIW101,333.00,220.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvmbiw101_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/25-a-one-way-switch-acvsxxw251.html,,Standard,SKUACVSXXW251,408.00,265.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsxxw251_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/16-a-two-way-switch-acvsxxw162.html,,Standard,SKUACVSXXW162,389.00,255.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsxxw162_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/16-a-one-way-switch-acvsxxw161.html,,Standard,SKUACVSXXW161,268.00,175.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsxxw161_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/25-a-1-way-switch-with-indicator-acvsxiw251.html,,Standard,SKUACVSXIW251,449.00,295.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsxiw251_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/8-m-h-plate-acvppcwh08.html,,Standard,SKUACVPPCWH08,421.00,275.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/n/e/new_2.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/12-m-plate-acvppcwv12.html,,Standard,SKUACVPPCWV12,538.00,355.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvppcwv12_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/4-m-plate-acvppcwv04.html,,Standard,SKUACVPPCWV04,235.00,155.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/ACVPPCWV04.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/3-m-plate-acvppcwv03.html,,Standard,SKUACVPPCWV03,196.00,130.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/ACVPPCWV03.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
